Economy,Year,Economy Code,"Mean age at first marriage, female",GDP (current US$)
Afghanistan,2015,AFG,21.500,
Afghanistan,2023,AFG,,17233051620.112
Albania,2018,ALB,24.200,
Albania,2023,ALB,,23547179830.441
Algeria,2019,DZA,,
Algeria,2023,DZA,,247626161016.414
American Samoa,2019,ASM,,
American Samoa,2022,ASM,,871000000.000
Andorra,2019,AND,,
Andorra,2023,AND,,3785067331.762
Angola,2016,AGO,21.500,
Angola,2023,AGO,,84824654481.725
Antigua and Barbuda,2019,ATG,,
Antigua and Barbuda,2023,ATG,,2033085185.185
Argentina,2019,ARG,,
Argentina,2023,ARG,,646075277525.125
Armenia,2015,ARM,24.200,
Armenia,2023,ARM,,24085749592.336
Aruba,2019,ABW,,
Aruba,2023,ABW,,3648573136.152
Australia,2016,AUS,29.900,
Australia,2023,AUS,,1728057316695.610
Austria,2019,AUT,,
Austria,2023,AUT,,511685203845.001
Azerbaijan,2018,AZE,24.200,
Azerbaijan,2023,AZE,,72356176470.588
"Bahamas, The",2019,BHS,,
"Bahamas, The",2023,BHS,,14338500000.000
Bahrain,2019,BHR,,
Bahrain,2023,BHR,,46079867021.277
Bangladesh,2019,BGD,,
Bangladesh,2023,BGD,,437415331040.994
Barbados,2019,BRB,,
Barbados,2023,BRB,,6720733200.000
Belarus,2019,BLR,,
Belarus,2023,BLR,,71857382745.607
Belgium,2019,BEL,,
Belgium,2023,BEL,,644782756682.756
Belize,2016,BLZ,20.500,
Belize,2023,BLZ,,3066850000.000
Benin,2018,BEN,20.700,
Benin,2023,BEN,,19676049075.701
Bermuda,2016,BMU,31.900,
Bermuda,2023,BMU,,8141700000.000
Bhutan,2017,BTN,23.800,
Bhutan,2022,BTN,,2898227743.135
Bolivia,2016,BOL,24.000,
Bolivia,2023,BOL,,45135398008.817
Bosnia and Herzegovina,2019,BIH,,
Bosnia and Herzegovina,2023,BIH,,27514782476.041
Botswana,2017,BWA,22.900,
Botswana,2023,BWA,,19396084498.008
Brazil,2019,BRA,,
Brazil,2023,BRA,,2173665655937.270
British Virgin Islands,2019,VGB,,
British Virgin Islands,2023,VGB,,
Brunei Darussalam,2019,BRN,,
Brunei Darussalam,2023,BRN,,15128292980.864
Bulgaria,2018,BGR,32.600,
Bulgaria,2023,BGR,,102407653020.606
Burkina Faso,2017,BFA,20.000,
Burkina Faso,2023,BFA,,20324617844.527
Burundi,2016,BDI,22.800,
Burundi,2023,BDI,,2642161668.852
Cabo Verde,2019,CPV,,
Cabo Verde,2023,CPV,,2533819406.492
Cambodia,2019,KHM,,
Cambodia,2023,KHM,,42335646895.798
Cameroon,2019,CMR,,
Cameroon,2023,CMR,,49279410982.826
Canada,2016,CAN,27.200,
Canada,2023,CAN,,2142470914401.360
Cayman Islands,2019,CYM,,
Cayman Islands,2023,CYM,,7139428557.714
Central African Republic,2019,CAF,,
Central African Republic,2023,CAF,,2555492085.248
Chad,2015,TCD,18.800,
Chad,2023,TCD,,13149325362.335
Channel Islands,2019,CHI,,
Channel Islands,2023,CHI,,12507927144.134
Chile,2019,CHL,,
Chile,2023,CHL,,335533331669.219
China,2016,CHN,25.400,
China,2023,CHN,,17794783039552.000
Colombia,2015,COL,22.700,
Colombia,2023,COL,,363493841244.303
Comoros,2019,COM,,
Comoros,2023,COM,,1352380971.241
"Congo, Dem. Rep.",2019,COD,,
"Congo, Dem. Rep.",2023,COD,,66383287002.987
"Congo, Rep.",2015,COG,21.900,
"Congo, Rep.",2023,COG,,15321055822.517
Costa Rica,2018,CRI,26.400,
Costa Rica,2023,CRI,,86497941439.017
Cote d'Ivoire,2016,CIV,23.000,
Cote d'Ivoire,2023,CIV,,78875489245.054
Croatia,2019,HRV,,
Croatia,2023,HRV,,84393795502.442
Cuba,2019,CUB,,
Cuba,2020,CUB,,107351800000.000
Curacao,2019,CUW,,
Curacao,2023,CUW,,3281419347.371
Cyprus,2019,CYP,,
Cyprus,2023,CYP,,33886930712.339
Czechia,2018,CZE,32.400,
Czechia,2023,CZE,,343207874553.734
Denmark,2018,DNK,31.900,
Denmark,2023,DNK,,407091920305.404
Djibouti,2019,DJI,,
Djibouti,2023,DJI,,4098530513.558
Dominica,2019,DMA,,
Dominica,2023,DMA,,653992592.593
Dominican Republic,2019,DOM,,
Dominican Republic,2023,DOM,,121444279313.931
Ecuador,2019,ECU,,
Ecuador,2023,ECU,,118844826000.000
"Egypt, Arab Rep.",2017,EGY,22.300,
"Egypt, Arab Rep.",2023,EGY,,396002496996.960
El Salvador,2019,SLV,,
El Salvador,2023,SLV,,34015620000.000
Equatorial Guinea,2019,GNQ,,
Equatorial Guinea,2023,GNQ,,12337550583.754
Eritrea,2019,ERI,,
Eritrea,2023,ERI,,
Estonia,2018,EST,33.600,
Estonia,2023,EST,,41291245222.195
Eswatini,2019,SWZ,,
Eswatini,2023,SWZ,,4442875788.085
Ethiopia,2016,ETH,21.300,
Ethiopia,2023,ETH,,163697927593.982
Faroe Islands,2018,FRO,31.000,
Faroe Islands,2023,FRO,,3907323961.340
Fiji,2019,FJI,,
Fiji,2023,FJI,,5442046565.047
Finland,2018,FIN,30.700,
Finland,2023,FIN,,295532341254.907
France,2019,FRA,,
France,2023,FRA,,3051831611384.760
French Polynesia,2019,PYF,,
French Polynesia,2022,PYF,,5814661208.905
Gabon,2019,GAB,,
Gabon,2023,GAB,,19388402541.670
"Gambia, The",2019,GMB,,
"Gambia, The",2023,GMB,,2396111021.641
Georgia,2019,GEO,,
Georgia,2023,GEO,,30777833585.444
Germany,2018,DEU,31.700,
Germany,2023,DEU,,4525703903627.530
Ghana,2017,GHA,23.700,
Ghana,2023,GHA,,76370396722.154
Gibraltar,2019,GIB,,
Gibraltar,2023,GIB,,
Greece,2019,GRC,,
Greece,2023,GRC,,243498333237.802
Greenland,2018,GRL,32.900,
Greenland,2021,GRL,,3235809504.299
Grenada,2019,GRD,,
Grenada,2023,GRD,,1316733333.333
Guam,2019,GUM,,
Guam,2022,GUM,,6910000000.000
Guatemala,2018,GTM,22.700,
Guatemala,2023,GTM,,104450210572.012
Guinea,2019,GIN,,
Guinea,2023,GIN,,22199409741.258
Guinea-Bissau,2019,GNB,,
Guinea-Bissau,2023,GNB,,2048348108.359
Guyana,2019,GUY,,
Guyana,2023,GUY,,17159509565.468
Haiti,2016,HTI,24.900,
Haiti,2023,HTI,,19850829757.542
Honduras,2019,HND,,
Honduras,2023,HND,,34400509852.044
"Hong Kong SAR, China",2016,HKG,29.900,
"Hong Kong SAR, China",2023,HKG,,380812234827.832
Hungary,2018,HUN,32.900,
Hungary,2023,HUN,,212388906458.724
Iceland,2018,ISL,32.400,
Iceland,2023,ISL,,31325116556.381
India,2016,IND,21.400,
India,2023,IND,,3567551674623.010
Indonesia,2017,IDN,22.400,
Indonesia,2023,IDN,,1371171152331.160
"Iran, Islamic Rep.",2016,IRN,23.100,
"Iran, Islamic Rep.",2023,IRN,,404625655204.619
Iraq,2019,IRQ,,
Iraq,2023,IRQ,,250842782139.464
Ireland,2016,IRL,32.400,
Ireland,2023,IRL,,551394889339.778
Isle of Man,2019,IMN,,
Isle of Man,2021,IMN,,7931193222.064
Israel,2016,ISR,26.200,
Israel,2023,ISR,,513611100815.691
Italy,2018,ITA,32.200,
Italy,2023,ITA,,2300941152991.810
Jamaica,2019,JAM,,
Jamaica,2023,JAM,,19423355409.232
Japan,2015,JPN,29.200,
Japan,2023,JPN,,4204494802431.550
Jordan,2018,JOR,24.600,
Jordan,2023,JOR,,50967475352.113
Kazakhstan,2015,KAZ,22.400,
Kazakhstan,2023,KAZ,,262641892078.524
Kenya,2019,KEN,,
Kenya,2023,KEN,,108038588970.595
Kiribati,2019,KIR,,
Kiribati,2023,KIR,,279208903.338
"Korea, Dem. People's Rep.",2019,PRK,,
"Korea, Dem. People's Rep.",2023,PRK,,
"Korea, Rep.",2015,KOR,31.500,
"Korea, Rep.",2023,KOR,,1712792854202.370
Kosovo,2019,XKX,,
Kosovo,2023,XKX,,10468219225.487
Kuwait,2019,KWT,,
Kuwait,2023,KWT,,163704878875.850
Kyrgyz Republic,2019,KGZ,,
Kyrgyz Republic,2023,KGZ,,13987627908.838
Lao PDR,2017,LAO,20.700,
Lao PDR,2023,LAO,,15843155731.255
Latvia,2018,LVA,30.400,
Latvia,2023,LVA,,42247850064.512
Lebanon,2019,LBN,,
Lebanon,2022,LBN,,20992421948.808
Lesotho,2019,LSO,,
Lesotho,2023,LSO,,2117962450.795
Liberia,2019,LBR,,
Liberia,2023,LBR,,4240000000.000
Libya,2019,LBY,,
Libya,2023,LBY,,45096462972.401
Liechtenstein,2018,LIE,29.900,
Liechtenstein,2022,LIE,,7361504432.193
Lithuania,2018,LTU,32.700,
Lithuania,2023,LTU,,79789877416.168
Luxembourg,2018,LUX,30.700,
Luxembourg,2023,LUX,,85755006123.598
"Macao SAR, China",2019,MAC,,
"Macao SAR, China",2023,MAC,,45803067940.407
Madagascar,2019,MDG,,
Madagascar,2023,MDG,,15790113246.748
Malawi,2018,MWI,20.400,
Malawi,2023,MWI,,12712150082.079
Malaysia,2019,MYS,,
Malaysia,2023,MYS,,399705169318.477
Maldives,2017,MDV,22.500,
Maldives,2023,MDV,,6590894301.958
Mali,2018,MLI,18.800,
Mali,2023,MLI,,20661794596.087
Malta,2019,MLT,,
Malta,2023,MLT,,22328640241.555
Marshall Islands,2019,MHL,,
Marshall Islands,2023,MHL,,259300000.000
Mauritania,2015,MRT,21.800,
Mauritania,2023,MRT,,10651709411.459
Mauritius,2019,MUS,,
Mauritius,2023,MUS,,14644524819.005
Mexico,2019,MEX,23.200,
Mexico,2023,MEX,,1789114434843.460
"Micronesia, Fed. Sts.",2019,FSM,,
"Micronesia, Fed. Sts.",2023,FSM,,460000000.000
